City,Country,Continent,Season,Budget,Budget_min,Budget_avg,Budget_max,Tags,Activities,Activity 1,Activity 2,Style,Type,is_coastal,FullText
Sochi,Russia,Europe,spring,30-50 USD,30,40,50,beach,"visiting museums, enjoying nightlife",visiting museums,enjoying nightlife,"coastal, relaxing, family-friendly","city,coastal,culture",True,"Sochi, Russia. Type: city,coastal,culture. Best season: spring. Activities: visiting museums, enjoying nightlife. Style: coastal, relaxing, family-friendly. Budget: 30-50 USD. Tags: beach."
Sofia,Bulgaria,Europe,summer,30-50 USD,30,40,50,gastronomy,"discovering historical sites, hiking trails",discovering historical sites,hiking trails,"foodie, solo-friendly","culture,nature",False,"Sofia, Bulgaria. Type: culture,nature. Best season: summer. Activities: discovering historical sites, hiking trails. Style: foodie, solo-friendly. Budget: 30-50 USD. Tags: gastronomy."
St. Louis,USA,North America,winter,80-120 USD,80,100,120,mountains,"exploring local markets, relaxing on the beach",exploring local markets,relaxing on the beach,"adventurous, lively","coastal,nature",True,"St. Louis, USA. Type: coastal,nature. Best season: winter. Activities: exploring local markets, relaxing on the beach. Style: adventurous, lively. Budget: 80-120 USD. Tags: mountains."
St. Petersburg,Russia,Europe,winter,50-80 USD,50,65,80,nightlife,"enjoying nightlife, discovering historical sites",enjoying nightlife,discovering historical sites,"vibrant, lively","city,culture",False,"St. Petersburg, Russia. Type: city,culture. Best season: winter. Activities: enjoying nightlife, discovering historical sites. Style: vibrant, lively. Budget: 50-80 USD. Tags: nightlife."
Stockholm,Sweden,Europe,spring,80-120 USD,80,100,120,urban,"discovering historical sites, exploring local markets",discovering historical sites,exploring local markets,"urban, family-friendly","city,culture",False,"Stockholm, Sweden. Type: city,culture. Best season: spring. Activities: discovering historical sites, exploring local markets. Style: urban, family-friendly. Budget: 80-120 USD. Tags: urban."
Sucre,Bolivia,South America,autumn,50-80 USD,50,65,80,mountains,"visiting museums, tasting local cuisine",visiting museums,tasting local cuisine,"adventurous, romantic","culture,nature",False,"Sucre, Bolivia. Type: culture,nature. Best season: autumn. Activities: visiting museums, tasting local cuisine. Style: adventurous, romantic. Budget: 50-80 USD. Tags: mountains."
Taipei,Taiwan,Asia,summer,80-120 USD,80,100,120,mountains,"enjoying nightlife, exploring local markets",enjoying nightlife,exploring local markets,"adventurous, lively","city,nature",False,"Taipei, Taiwan. Type: city,nature. Best season: summer. Activities: enjoying nightlife, exploring local markets. Style: adventurous, lively. Budget: 80-120 USD. Tags: mountains."
Tallinn,Estonia,Europe,spring,30-50 USD,30,40,50,historical,"exploring local markets, relaxing on the beach",exploring local markets,relaxing on the beach,"historical, family-friendly","coastal,culture",True,"Tallinn, Estonia. Type: coastal,culture. Best season: spring. Activities: exploring local markets, relaxing on the beach. Style: historical, family-friendly. Budget: 30-50 USD. Tags: historical."
Tampa,USA,North America,spring,80-120 USD,80,100,120,nightlife,"visiting museums, enjoying nightlife",visiting museums,enjoying nightlife,"vibrant, lively","city,culture",False,"Tampa, USA. Type: city,culture. Best season: spring. Activities: visiting museums, enjoying nightlife. Style: vibrant, lively. Budget: 80-120 USD. Tags: nightlife."
Tashkent,Uzbekistan,Asia,spring,80-120 USD,80,100,120,nightlife,"discovering historical sites, exploring local markets",discovering historical sites,exploring local markets,"vibrant, family-friendly","city,culture",False,"Tashkent, Uzbekistan. Type: city,culture. Best season: spring. Activities: discovering historical sites, exploring local markets. Style: vibrant, family-friendly. Budget: 80-120 USD. Tags: nightlife."
Tbilisi,Georgia,Europe,winter,30-50 USD,30,40,50,nightlife,"visiting museums, exploring local markets",visiting museums,exploring local markets,"vibrant, solo-friendly","city,culture",False,"Tbilisi, Georgia. Type: city,culture. Best season: winter. Activities: visiting museums, exploring local markets. Style: vibrant, solo-friendly. Budget: 30-50 USD. Tags: nightlife."
Tehran,Iran,Asia,spring,50-80 USD,50,65,80,mountains,"discovering historical sites, visiting museums",discovering historical sites,visiting museums,"adventurous, romantic","culture,nature",False,"Tehran, Iran. Type: culture,nature. Best season: spring. Activities: discovering historical sites, visiting museums. Style: adventurous, romantic. Budget: 50-80 USD. Tags: mountains."
Thimphu,Bhutan,Asia,spring,80-120 USD,80,100,120,mountains,"hiking trails, relaxing on the beach",hiking trails,relaxing on the beach,"adventurous, solo-friendly","coastal,nature",True,"Thimphu, Bhutan. Type: coastal,nature. Best season: spring. Activities: hiking trails, relaxing on the beach. Style: adventurous, solo-friendly. Budget: 80-120 USD. Tags: mountains."
Tijuana,Mexico,North America,autumn,120-200 USD,120,160,200,romantic,"discovering historical sites, tasting local cuisine",discovering historical sites,tasting local cuisine,romantic,culture,False,"Tijuana, Mexico. Type: culture. Best season: autumn. Activities: discovering historical sites, tasting local cuisine. Style: romantic. Budget: 120-200 USD. Tags: romantic."
Tirana,Albania,Europe,summer,120-200 USD,120,160,200,romantic,"exploring local markets, relaxing on the beach",exploring local markets,relaxing on the beach,family-friendly,coastal,True,"Tirana, Albania. Type: coastal. Best season: summer. Activities: exploring local markets, relaxing on the beach. Style: family-friendly. Budget: 120-200 USD. Tags: romantic."
Ulaanbaatar,Mongolia,Asia,winter,50-80 USD,50,65,80,mountains,"enjoying nightlife, exploring local markets",enjoying nightlife,exploring local markets,"adventurous, lively","city,nature",False,"Ulaanbaatar, Mongolia. Type: city,nature. Best season: winter. Activities: enjoying nightlife, exploring local markets. Style: adventurous, lively. Budget: 50-80 USD. Tags: mountains."
Vancouver,Canada,North America,winter,80-120 USD,80,100,120,culture,"enjoying nightlife, relaxing on the beach",enjoying nightlife,relaxing on the beach,"cultural, family-friendly","city,coastal,culture",True,"Vancouver, Canada. Type: city,coastal,culture. Best season: winter. Activities: enjoying nightlife, relaxing on the beach. Style: cultural, family-friendly. Budget: 80-120 USD. Tags: culture."
Vienna,Austria,Europe,summer,50-80 USD,50,65,80,nightlife,"discovering historical sites, relaxing on the beach",discovering historical sites,relaxing on the beach,"vibrant, solo-friendly","city,coastal,culture",True,"Vienna, Austria. Type: city,coastal,culture. Best season: summer. Activities: discovering historical sites, relaxing on the beach. Style: vibrant, solo-friendly. Budget: 50-80 USD. Tags: nightlife."
Vilnius,Lithuania,Europe,spring,120-200 USD,120,160,200,nightlife,"enjoying nightlife, discovering historical sites",enjoying nightlife,discovering historical sites,"vibrant, romantic","city,culture",False,"Vilnius, Lithuania. Type: city,culture. Best season: spring. Activities: enjoying nightlife, discovering historical sites. Style: vibrant, romantic. Budget: 120-200 USD. Tags: nightlife."
Vladivostok,Russia,Europe,summer,50-80 USD,50,65,80,urban,"exploring local markets, enjoying nightlife",exploring local markets,enjoying nightlife,"urban, lively",city,False,"Vladivostok, Russia. Type: city. Best season: summer. Activities: exploring local markets, enjoying nightlife. Style: urban, lively. Budget: 50-80 USD. Tags: urban."
Warsaw,Poland,Europe,winter,120-200 USD,120,160,200,nightlife,"exploring local markets, hiking trails",exploring local markets,hiking trails,"vibrant, family-friendly","city,nature",False,"Warsaw, Poland. Type: city,nature. Best season: winter. Activities: exploring local markets, hiking trails. Style: vibrant, family-friendly. Budget: 120-200 USD. Tags: nightlife."
Yakutsk,Russia,Europe,winter,120-200 USD,120,160,200,culture,"discovering historical sites, enjoying nightlife",discovering historical sites,enjoying nightlife,"cultural, romantic","city,culture",False,"Yakutsk, Russia. Type: city,culture. Best season: winter. Activities: discovering historical sites, enjoying nightlife. Style: cultural, romantic. Budget: 120-200 USD. Tags: culture."
Yerevan,Armenia,Europe,summer,50-80 USD,50,65,80,mountains,"hiking trails, relaxing on the beach",hiking trails,relaxing on the beach,"adventurous, family-friendly","coastal,nature",True,"Yerevan, Armenia. Type: coastal,nature. Best season: summer. Activities: hiking trails, relaxing on the beach. Style: adventurous, family-friendly. Budget: 50-80 USD. Tags: mountains."
Porto,Portugal,Europe,summer,60-100 USD,60,80,100,"port wine, douro, azulejos, coastal","tasting local cuisine, visiting museums",tasting local cuisine,visiting museums,"romantic, foodie, historic",coastal;culture,True,"Historic coastal city on the Douro, known for port wine cellars, tiled facades and riverfront promenades; good seafood and beaches nearby; best in summer with mild Atlantic climate."
Valencia,Spain,Europe,spring,70-120 USD,70,95,120,"city of arts, paella, mediterranean, beach","relaxing on the beach, tasting local cuisine",relaxing on the beach,tasting local cuisine,"vibrant, urban, family-friendly",coastal;city;culture,True,"Mediterranean city with wide beaches, the City of Arts and Sciences, and renowned paella; warm springs and long summers."
Nice,France,Europe,summer,100-160 USD,100,130,160,"french riviera, promenade des anglais, pebble beach","relaxing on the beach, shopping",relaxing on the beach,shopping,"romantic, lively, urban",coastal;city,True,"Seaside city on the French Riviera with Promenade des Anglais, pebbly beaches, art museums and day trips along the CÃ´te dâ€™Azur."
Bari,Italy,Europe,summer,70-110 USD,70,90,110,"puglia, adriatic, old town, orecchiette","relaxing on the beach, exploring local markets",relaxing on the beach,exploring local markets,"peaceful, historic, foodie",coastal;culture,True,"Adriatic port in Puglia with a charming old town, fresh seafood and access to beaches and Trulli towns; hot dry summers."
Cagliari,Italy,Europe,summer,80-130 USD,80,105,130,"sardinia, mediterranean, beaches, flamingos","relaxing on the beach, hiking",relaxing on the beach,hiking,"sunny, outdoors, relaxed",coastal;city,True,"Capital of Sardinia with nearby long sandy beaches (Poetto), limestone hills and lagoons with flamingos; peak season summer."
Split,Croatia,Europe,summer,80-130 USD,80,105,130,"dalmatian coast, diocletian palace, islands","relaxing on the beach, discovering historical sites",relaxing on the beach,discovering historical sites,"lively, historic, outdoors",coastal;culture,True,Coastal city built around Diocletianâ€™s Palace; island-hopping hub with beaches and limestone mountains; hot sunny summers.
Zadar,Croatia,Europe,summer,70-110 USD,70,90,110,"sea organ, dalmatia, old town","relaxing on the beach, visiting museums",relaxing on the beach,visiting museums,"peaceful, historic, romantic",coastal;culture,True,"Smaller Dalmatian city known for the Sea Organ and sunsets, Roman-era ruins and easy access to islands and beaches."
Corfu,Greece,Europe,summer,70-120 USD,70,95,120,"ionian island, beaches, fortresses","relaxing on the beach, hiking",relaxing on the beach,hiking,"peaceful, green, romantic",coastal;nature;culture,True,"Greek Ionian island with lush interior, Venetian heritage and many beaches; best late spring to early autumn."
Thessaloniki,Greece,Europe,autumn,60-100 USD,60,80,100,"byzantine, waterfront, markets","tasting local cuisine, visiting museums",tasting local cuisine,visiting museums,"urban, foodie, lively",city;culture;coastal,True,"Historic port city with Byzantine sites, strong food scene and waterfront promenade; pleasant in autumn."
Madeira,Portugal,Europe,spring,80-130 USD,80,105,130,"levada trails, cliffs, atlantic","hiking, tasting local cuisine",hiking,tasting local cuisine,"outdoors, scenic, peaceful",nature;coastal,True,"Volcanic Atlantic island famous for levada hikes, cliffs and mild climate year-round; spring blooms are ideal."
Kotor,Montenegro,Europe,summer,60-100 USD,60,80,100,"bay of kotor, fortress, fjord-like","relaxing on the beach, hiking",relaxing on the beach,hiking,"romantic, historic, scenic",coastal;culture;nature,True,UNESCO-listed bay with medieval old town and steep fortress hike; popular in summer with cruise traffic.
Gdansk,Poland,Europe,summer,60-100 USD,60,80,100,"baltic, hanseatic, amber","discovering historical sites, visiting museums",discovering historical sites,visiting museums,"historic, affordable, urban",coastal;culture,True,"Baltic port with rebuilt Hanseatic old town, WWII museum and beaches in the Tricity area; mild summers."
Granada,Spain,Europe,spring,70-110 USD,70,90,110,"alhambra, sierra nevada, tapas","discovering historical sites, visiting museums",discovering historical sites,visiting museums,"historic, scenic, romantic",culture;city,False,"Historic city at the foot of Sierra Nevada, famed for the Alhambra and tapas culture; spring is ideal."
Innsbruck,Austria,Europe,winter,90-150 USD,90,120,150,"alps, ski, old town","hiking, visiting museums",hiking,visiting museums,"alpine, outdoors, family-friendly",nature;city,False,Alpine city ringed by mountains; skiing in winter and hiking in summer; baroque old town.
Da Nang,Vietnam,Asia,spring,40-80 USD,40,60,80,"my khe beach, son tra, central vietnam","relaxing on the beach, tasting local cuisine",relaxing on the beach,tasting local cuisine,"peaceful, modern, outdoors",coastal;city,True,"Coastal city with long sandy beaches and access to Hoi An and Marble Mountains; dry, pleasant spring."
Nha Trang,Vietnam,Asia,summer,40-80 USD,40,60,80,"islands, diving, bay","relaxing on the beach, diving",relaxing on the beach,diving,"lively, tropical, affordable",coastal,True,"Vietnamese resort city with islands, clear waters and diving/snorkeling; warm year-round, peak in summer."
Hoi An,Vietnam,Asia,spring,40-80 USD,40,60,80,"lanterns, old town, an bang beach","exploring local markets, relaxing on the beach",exploring local markets,relaxing on the beach,"romantic, historic, foodie",culture;coastal,True,UNESCO old town with lantern-lit streets and nearby beaches; dry season spring to early summer.
Busan,South Korea,Asia,summer,80-140 USD,80,110,140,"haeundae, jagalchi market, gwangalli","relaxing on the beach, seafood",relaxing on the beach,seafood,"lively, urban, scenic",coastal;city,True,"Port city with famous beaches, seafood markets and coastal hiking; hot humid summers."
Jeju City,South Korea,Asia,spring,70-120 USD,70,95,120,"hallasan, lava tubes, waterfalls","hiking, relaxing on the beach",hiking,relaxing on the beach,"outdoors, volcanic, family-friendly",nature;coastal,True,Volcanic island with beaches and Hallasan National Park; spring flowers and milder weather.
Kochi,India,Asia,winter,40-70 USD,40,55,70,"kerala backwaters, chinese fishing nets, spices","exploring local markets, tasting local cuisine",exploring local markets,tasting local cuisine,"peaceful, historic, tropical",coastal;culture,True,"Historic port in Kerala with colonial quarters and access to beaches and backwaters; best Novâ€""Feb."
Alappuzha,India,Asia,winter,30-60 USD,30,45,60,"alleppey, backwaters, houseboat","boat tours, relaxing on the beach",boat tours,relaxing on the beach,"peaceful, scenic, slow-paced",nature;coastal,True,Backwaters hub with houseboat cruises and nearby Arabian Sea beaches; dry winter is ideal.
Langkawi,Malaysia,Asia,winter,60-100 USD,60,80,100,"archipelago, cable car, geopark","relaxing on the beach, hiking",relaxing on the beach,hiking,"tropical, outdoors, relaxed",nature;coastal,True,"Island archipelago with beaches, rainforest and viewpoints; dry season roughly Decâ€""Mar."
Kota Kinabalu,Malaysia,Asia,spring,50-90 USD,50,70,90,"sabah, tunku abdul rahman park, borneo","hiking, snorkeling",hiking,snorkeling,"adventurous, outdoors, lively",nature;coastal,True,Borneo gateway with island parks for snorkeling and access to Mount Kinabalu; shoulder seasons are pleasant.
Negombo,Sri Lanka,Asia,winter,30-60 USD,30,45,60,"west coast, lagoon, fishing","relaxing on the beach, seafood",relaxing on the beach,seafood,"peaceful, affordable, tropical",coastal,True,"Beach town near Colombo airport with sandy beaches and lagoon; best Decâ€""Mar."
Luang Prabang,Laos,Asia,winter,40-80 USD,40,60,80,"mekong, waterfalls, temples","visiting museums, hiking",visiting museums,hiking,"peaceful, spiritual, scenic",culture;nature,False,"UNESCO town at the confluence of rivers with waterfalls and temples; dry, cool winter is best."
Bohol,Philippines,Asia,winter,50-90 USD,50,70,90,"panglao, chocolate hills, tarsiers","snorkeling, relaxing on the beach",snorkeling,relaxing on the beach,"tropical, peaceful, outdoors",nature;coastal,True,"Island province with Panglao beaches, snorkeling and Chocolate Hills; dry season roughly Decâ€""May."
Coron,Philippines,Asia,winter,60-110 USD,60,85,110,"lagoons, wreck diving, calamenian","diving, island hopping",diving,island hopping,"tropical, adventurous, scenic",nature;coastal,True,Famed for limestone lagoons and WWII wreck dives; peak visibility in dry season.
Hualien,Taiwan,Asia,autumn,60-100 USD,60,80,100,"taroko gorge, east coast, marble cliffs","hiking, scenic drives",hiking,scenic drives,"outdoors, scenic, relaxed",nature,False,Gateway to Taroko Gorge with dramatic marble canyons and coastal scenery; autumn often clear.
Okinawa,Japan,Asia,spring,90-140 USD,90,115,140,"ryukyu islands, coral reefs, beaches","relaxing on the beach, snorkeling",relaxing on the beach,snorkeling,"tropical, family-friendly, relaxed",coastal;nature,True,Subtropical islands with coral reefs and beaches; spring/early summer before typhoons is ideal.
Essaouira,Morocco,Africa,spring,30-60 USD,30,45,60,"atlantic coast, medina, port","relaxing on the beach, seafood",relaxing on the beach,seafood,"windy, artsy, relaxed",coastal;culture,True,"Chill Atlantic port with fortified medina, seafood and wind/kitesurf scene; milder spring weather."
Agadir,Morocco,Africa,winter,40-80 USD,40,60,80,"souss-massa, long beach, atlas foothills","relaxing on the beach, hiking",relaxing on the beach,hiking,"sunny, resort, affordable",coastal,True,Moroccan Atlantic resort with long beach and Atlas foothills nearby; warm sunny winters.
Dakhla,Morocco,Africa,winter,40-80 USD,40,60,80,"lagoon, sahara, kitesurf","kitesurfing, relaxing on the beach",kitesurfing,relaxing on the beach,"windy, adventurous, remote",coastal;nature,True,"Lagoon city famous for constant wind and kitesurfing; mild winters, desert backdrop."
Diani Beach,Kenya,Africa,winter,60-100 USD,60,80,100,"south coast, coral reef, white sands","relaxing on the beach, snorkeling",relaxing on the beach,snorkeling,"tropical, relaxed, scenic",coastal;nature,True,"Kenyan beach with white sand and offshore reef; best Decâ€""Mar."
Lamu Town,Kenya,Africa,winter,50-90 USD,50,70,90,"swahili coast, dhow, unesco","boat tours, exploring local markets",boat tours,exploring local markets,"historic, tranquil, unique",coastal;culture,True,UNESCO Swahili town with dhow culture and nearby beaches; dry season in winter.
Watamu,Kenya,Africa,winter,50-90 USD,50,70,90,"marine park, coral gardens, turtles","snorkeling, relaxing on the beach",snorkeling,relaxing on the beach,"peaceful, tropical, family-friendly",coastal;nature,True,Small beach town with protected marine park and coral gardens; ideal in winter months.
Tofo,Mozambique,Africa,winter,40-80 USD,40,60,80,"whale sharks, manta, indian ocean","diving, relaxing on the beach",diving,relaxing on the beach,"laid-back, adventurous, affordable",coastal;nature,True,Mozambican beach village known for whale sharks and mantas; dry winter excellent for diving.
Vilankulo,Mozambique,Africa,winter,50-90 USD,50,70,90,"bazaruto archipelago, dunes, dhow","island hopping, snorkeling",island hopping,snorkeling,"tropical, scenic, relaxed",coastal;nature,True,"Gateway to Bazaruto with turquoise lagoon, dunes and sandbanks; dry season best."
Nosy Be,Madagascar,Africa,autumn,50-90 USD,50,70,90,"perfume island, ylang-ylang, reefs","diving, relaxing on the beach",diving,relaxing on the beach,"tropical, relaxed, scenic",coastal;nature,True,"Island off Madagascarâ€™s NW coast, known for reefs and vanilla/ylang; best Mayâ€""Oct."
Cape Coast,Ghana,Africa,winter,40-80 USD,40,60,80,"castles, slave trade forts, beaches","discovering historical sites, seafood",discovering historical sites,seafood,"historic, educational, tropical",coastal;culture,True,"Historic castles along Ghanaâ€™s coast with nearby beaches; dry season Novâ€""Feb."
Saly,Senegal,Africa,winter,50-90 USD,50,70,90,"petite cÃ´te, atlantic, sands","relaxing on the beach, seafood",relaxing on the beach,seafood,"sunny, resort, relaxed",coastal,True,Resort area on the Petite CÃ´te with wide beaches and warm dry winters.
Hermanus,South Africa,Africa,autumn,70-120 USD,70,95,120,"overberg, cliffs, fynbos","whale watching, hiking",whale watching,hiking,"scenic, outdoors, peaceful",coastal;nature,True,"Coastal town famed for land-based whale watching (Junâ€""Nov) and cliff paths; autumn-spring prime."
St Lucia,South Africa,Africa,winter,60-110 USD,60,85,110,"iSimangaliso, estuary, hippos","boat tours, wildlife viewing",boat tours,wildlife viewing,"outdoors, unique, relaxed",coastal;nature,True,"Small town on an estuary with hippos, beaches and wetlands; mild dry winters."
Praslin,Seychelles,Africa,spring,120-200 USD,120,160,200,"anse lazio, vallee de mai, granite","relaxing on the beach, snorkeling",relaxing on the beach,snorkeling,"romantic, tropical, scenic",coastal;nature,True,Granite island with iconic beaches and coco de mer palms; shoulder season spring ideal.
Sal,Cape Verde,Africa,winter,60-110 USD,60,85,110,"santa maria, atlantic, dunes","relaxing on the beach, kitesurfing",relaxing on the beach,kitesurfing,"sunny, windy, relaxed",coastal;nature,True,Cape Verde island with long sandy beaches and steady winds; peak sunshine in winter.
Mazatlain,Mexico,North America,winter,60-110 USD,60,85,110,"sea of cortez, whale sharks, malecÃ³n","snorkeling, relaxing on the beach",snorkeling,relaxing on the beach,"peaceful, outdoors, scenic",coastal;nature,True,"Baja city on the Sea of Cortez with beaches, marine life and desert landscapes; mild dry winters."
Zihuatanejo,Mexico,North America,winter,60-110 USD,60,85,110,"golden zone, malecon, pacific","relaxing on the beach, seafood",relaxing on the beach,seafood,"lively, historic, tropical",coastal;city,True,"Pacific resort with long malecÃ³n, beaches and a historic center; warm winters."
Sanibel Island,Mexico,North America,winter,60-110 USD,60,85,110,"pacific bays, ixtapa, fishing village","relaxing on the beach, boat tours",relaxing on the beach,boat tours,"romantic, relaxed, tropical",coastal;nature,True,Charming bay town near Ixtapa with beaches and sheltered waters; dry season in winter-spring.
Tybee Island,USA,North America,spring,120-200 USD,120,160,200,"shelling, wildlife refuge, gulf coast","relaxing on the beach, wildlife viewing",relaxing on the beach,wildlife viewing,"peaceful, family-friendly, scenic",coastal;nature,True,Barrier island on Floridaâ€™s Gulf with shell beaches and a wildlife refuge; spring weather is ideal.
Cannon Beach,USA,North America,spring,90-140 USD,90,115,140,"savannah nearby, lighthouse, dunes","relaxing on the beach, cycling",relaxing on the beach,cycling,"relaxed, family-friendly, coastal",coastal;nature,True,Georgia barrier island with wide beaches and proximity to Savannah; pleasant spring.
Outer Banks,USA,North America,summer,100-160 USD,100,130,160,"haystack rock, oregon coast, ecola","relaxing on the beach, hiking",relaxing on the beach,hiking,"scenic, peaceful, cool-summer",coastal;nature,True,"Oregon coastal town with sea stacks, tide pools and forests; cool dry summers."
Prince Edward Island,USA,North America,summer,100-160 USD,100,130,160,"north carolina, barrier islands, dunes","relaxing on the beach, surfing",relaxing on the beach,surfing,"windy, outdoors, family-friendly",coastal;nature,True,"Chain of barrier islands known for beaches, lighthouses and surfing; peak in summer."
Quebec City,Canada,North America,summer,90-140 USD,90,115,140,"red sand, confederation trail, mussels","relaxing on the beach, seafood",relaxing on the beach,seafood,"peaceful, rural, scenic",coastal;nature;food,True,"Maritime province/island with red-sand beaches, seafood and trails; warmest months in summer."
Banff,Canada,North America,winter,100-160 USD,100,130,160,"old quebec, fortified city, winter carnival","discovering historical sites, visiting museums",discovering historical sites,visiting museums,"romantic, historic, cozy",culture;city,False,Walled old town with European feel; winter brings snow festivals and cozy cafÃ©s.
Telluride,Canada,North America,summer,120-200 USD,120,160,200,"rockies, turquoise lakes, national park","hiking, scenic drives",hiking,scenic drives,"alpine, outdoors, scenic",nature,False,Mountain town in Banff National Park with hiking and glacial lakes; short warm summer season.
Sedona,USA,North America,summer,120-200 USD,120,160,200,"san juan mountains, gondola, festivals","hiking, festivals",hiking,festivals,"alpine, scenic, relaxed",nature;culture,False,"Colorado mountain town with dramatic box canyon, summer hiking and festivals; ski in winter."
Bar Harbor,USA,North America,spring,100-160 USD,100,130,160,"red rocks, vortex sites, trails","hiking, scenic drives",hiking,scenic drives,"desert, spiritual, scenic",nature,False,Arizona town surrounded by red rock formations; best spring and autumn.
Nassau,USA,North America,summer,120-200 USD,120,160,200,"acadia national park, maine coast, lobster","hiking, relaxing on the beach",hiking,relaxing on the beach,"outdoors, scenic, quaint",coastal;nature,True,Gateway to Acadia National Park with rocky coast and trails; peak in summer.
Caye Caulker,Bahamas,North America,winter,120-200 USD,120,160,200,"new providence, paradise island, reefs","relaxing on the beach, snorkeling",relaxing on the beach,snorkeling,"tropical, resort, lively",coastal,True,Caribbean capital with beaches and resorts; dry sunny winter high season.
Paraty,Belize,North America,winter,70-120 USD,70,95,120,"belize barrier reef, go slow, split","snorkeling, diving",snorkeling,diving,"laid-back, tropical, budget",coastal;nature,True,Small coral island with easy access to the Belize Barrier Reef; dry season winter-spring.
Florianapolis,Brazil,South America,winter,50-90 USD,50,70,90,"costa verde, colonial, islands","boat tours, hiking",boat tours,hiking,"historic, scenic, relaxed",coastal;culture;nature,True,"Colonial town on Brazilâ€™s Costa Verde with islands, waterfalls and cobblestone streets; dry winter is best."
Jericoacoara,Brazil,South America,summer,60-110 USD,60,85,110,"santa catarina island, dunes, lagoons","surfing, relaxing on the beach",surfing,relaxing on the beach,"lively, outdoors, island",coastal;nature;city,True,"Island city with dozens of beaches, dunes and lagoons; peak in summer."
Pipa,Brazil,South America,summer,50-90 USD,50,70,90,"dunes, lagoons, cearÃ¡","kitesurfing, relaxing on the beach",kitesurfing,relaxing on the beach,"windy, remote, scenic",coastal;nature,True,Remote beach village with dunes and lagoons; windy summers ideal for kitesurf.
Colonia del Sacramento,Brazil,South America,summer,50-90 USD,50,70,90,"cliffs, dolphins, rio grande do norte","relaxing on the beach, surfing",relaxing on the beach,surfing,"tropical, laid-back, scenic",coastal;nature,True,Cliff-backed beaches with dolphins and surf; warm year-round.
Valparaiso,Uruguay,South America,autumn,60-100 USD,60,80,100,"unesco, rÃ­o de la plata, cobblestone","discovering historical sites, relaxing on the beach",discovering historical sites,relaxing on the beach,"historic, peaceful, scenic",culture;coastal,True,Riverside UNESCO town opposite Buenos Aires with colonial streets; pleasant in autumn.
La Serena,Chile,South America,summer,60-110 USD,60,85,110,"funiculars, pacific port, murals","street art tours, exploring local markets",street art tours,exploring local markets,"bohemian, colorful, hilly",coastal;culture,True,Hilly Pacific port known for colorful murals and funiculars; best summer.
Maincora,Peru,South America,summer,60-100 USD,60,80,100,"coquimbo, beaches, elqui valley","relaxing on the beach, stargazing",relaxing on the beach,stargazing,"peaceful, family-friendly, sunny",coastal;nature,True,Beach city with access to Elqui Valley observatories and pisco; dry sunny summers.
Huanchaco,Peru,South America,winter,40-80 USD,40,60,80,"north peru, warm water, pacific","surfing, relaxing on the beach",surfing,relaxing on the beach,"tropical, sunny, relaxed",coastal;nature,True,Northern Peru beach town with warm waters and surf; dry winter is prime.
Puerto Madryn,Argentina,South America,winter,30-60 USD,30,45,60,"reed boats, chan chan, waves","surfing, discovering historical sites",surfing,discovering historical sites,"laid-back, historic, affordable",coastal;nature;culture,True,Beach town famed for reed boats and near Chan Chan ruins; dry winter best.
Punta del Diablo,Argentina,South America,summer,60-110 USD,60,85,110,"patagonia, valdÃ©s peninsula, whales","wildlife viewing, relaxing on the beach",wildlife viewing,relaxing on the beach,"outdoors, scenic, unique",coastal;nature,True,Patagonian coast with whale watching (seasonal) and ValdÃ©s wildlife; warmest in summer.
Bariloche,Argentina,South America,summer,40-80 USD,40,60,80,"rocha coast, dunes, atlantic","relaxing on the beach, surfing",relaxing on the beach,surfing,"laid-back, rustic, budget",coastal;nature,True,Rustic fishing village turned surf/beach spot on Uruguayâ€™s Rocha coast; peak summer.
El Chaltan,Argentina,South America,summer,80-140 USD,80,110,140,"nahuel huapi, chocolate, patagonia","hiking, scenic drives",hiking,scenic drives,"alpine, lakes, outdoors",nature,False,"Lakeside mountain town with hiking, scenic drives and chocolate; best late springâ€""summer."
Salento,Argentina,South America,summer,70-120 USD,70,95,120,"fitz roy, patagonia, trails","hiking, trekking",hiking,trekking,"adventurous, remote, alpine",nature,False,Hiking capital of Patagonia with iconic Fitz Roy massif; short summer season.
Isla Mujeres,Mexico,North America,spring,40-80 USD,40,60,80,"cocora valley, wax palms, eje cafetero","coffee tours, hiking",coffee tours,hiking,"scenic, rural, relaxed",nature;culture,False,Coffee town with tall wax palms in nearby Cocora Valley; drier in spring.
Noosa,Mexico,South America,winter,70-120 USD,70,95,120,"caribbean, reefs, cancun ferry","snorkeling, relaxing on the beach",snorkeling,relaxing on the beach,"tropical, relaxed, scenic",coastal;nature,True,Small Caribbean island with coral reefs and calm beaches; dry sunny winter.
Byron Bay,Australia,Oceania,winter,110-170 USD,110,140,170,"sunshine coast, national park, beaches","relaxing on the beach, hiking",relaxing on the beach,hiking,"tropical, upscale, scenic",coastal;nature,True,Queensland beach town with protected national park and surf beaches; mild dry winters.
Coffs Harbour,Australia,Oceania,spring,110-170 USD,110,140,170,"lighthouse, surf, new south wales","surfing, relaxing on the beach",surfing,relaxing on the beach,"bohemian, relaxed, scenic",coastal;nature,True,Famous surf town with lighthouse and laid-back vibe; spring has pleasant weather.
